slide_name,total_detections,abnormal_area_proportion,classification
0.png,0,0.0000,LOW_RISK
1.png,8,0.0157,HIGH_RISK
10.png,6,0.0055,HIGH_RISK
100.png,11,0.0111,HIGH_RISK
101.png,9,0.0022,HIGH_RISK
102.png,9,0.0148,HIGH_RISK
103.png,10,0.0029,HIGH_RISK
104.png,14,0.0051,HIGH_RISK
105.png,8,0.0061,HIGH_RISK
106.png,2,0.0007,MEDIUM_RISK
107.png,5,0.0044,HIGH_RISK
108.png,11,0.0085,HIGH_RISK
109.png,6,0.0041,HIGH_RISK
11.png,15,0.0164,HIGH_RISK
110.png,3,0.0013,MEDIUM_RISK
111.png,9,0.0039,HIGH_RISK
112.png,7,0.0034,HIGH_RISK
113.png,4,0.0011,MEDIUM_RISK
114.png,11,0.0158,HIGH_RISK
115.png,12,0.0139,HIGH_RISK
