epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4464,0,79.4087,0,0,0,0,0,0,42.875,0,0.00012,0.00012,0.00012
2,12.8641,0,79.5124,0,0,0,0,0,0,42.875,0,0.00025142,0.00025142,0.00025142
3,13.3202,0,78.422,0,0,0,0,0,0,42.875,0,0.0003736,0.0003736,0.0003736
4,13.8406,0,76.0281,0,0,0,0,0,0,42.875,0,0.00048654,0.00048654,0.00048654
5,14.3809,0,74.1423,0,0,0,0,0,0,43.1562,0,0.00059024,0.00059024,0.00059024
6,14.889,0,72.1397,0,0,0,0,0,0,43.0938,0,0.0006847,0.0006847,0.0006847
7,15.3742,0,70.2366,0,0,0,0,0,0,43.0938,0,0.00076992,0.00076992,0.00076992
8,15.869,0,68.2558,0,0,0,0,0,0,43.0312,0,0.0008459,0.0008459,0.0008459
9,16.3702,0,67.0976,0,0,0,0,0,0,42.9688,0,0.00091264,0.00091264,0.00091264
10,16.9384,0,65.5599,0,0,0,0,0,0,42.9688,0,0.00097014,0.00097014,0.00097014
11,17.6377,0,64.1212,0,0,0,0,0,0,42,0,0.0010184,0.0010184,0.0010184
12,18.218,0,63.5087,0,0,0,0,0,0,42,0,0.00105742,0.00105742,0.00105742
13,18.7277,0,61.7521,0,0,0,0,0,0,42.6875,0,0.0010872,0.0010872,0.0010872
14,19.277,0,61.1171,0,0,0,0,0,0,42.6875,0,0.00110774,0.00110774,0.00110774
15,19.8409,0,60.3709,0,0,0,0,0,0,41.75,0,0.001076,0.001076,0.001076
16,20.458,0,59.5858,0,0,0,0,0,0,41.75,0,0.00101,0.00101,0.00101
17,21.1011,0,59.2425,0,0,0,0,0,0,40.375,0,0.000944,0.000944,0.000944
18,21.6598,0,57.427,0,0,0,0,0,0,40.375,0,0.000878,0.000878,0.000878
19,22.2312,0,57.3327,0,0,0,0,0,0,40.375,0,0.000812,0.000812,0.000812
20,22.8284,0,56.3982,0,0,0,0,0,0,39.875,0,0.000746,0.000746,0.000746
21,24.5213,0,56.1683,0,0,0,0,0,0,39.875,0,0.00068,0.00068,0.00068
22,25.2055,0,55.8158,0,0,0,0,0,0,40.0938,0,0.000614,0.000614,0.000614
23,25.957,0,55.2994,0,0,0,0,0,0,40.0938,0,0.000548,0.000548,0.000548
24,26.4654,0,55.004,0,0,0,0,0,0,40.9375,0,0.000482,0.000482,0.000482
25,26.9527,0,54.4076,0,0,0,0,0,0,40.9375,0,0.000416,0.000416,0.000416
26,27.4646,0,54.3763,0,0,0,0,0,0,34.6562,0,0.00035,0.00035,0.00035
27,28.0089,0,53.7213,0,0,0,0,0,0,34.6562,0,0.000284,0.000284,0.000284
28,28.5114,0,53.6934,0,0,0,0,0,0,34.6562,0,0.000218,0.000218,0.000218
29,29.0086,0,53.5073,0,0,0,0,0,0,33.6562,0,0.000152,0.000152,0.000152
30,29.6123,0,53.4368,0,0,0,0,0,0,33.6562,0,8.6e-05,8.6e-05,8.6e-05
