epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4526,1.47946,1.69832,1.11237,0.47016,0.41048,0.35032,0.19063,1.36136,1.63483,1.04173,0.00328638,0.00328638,0.00328638
2,37.8545,1.42765,1.51344,1.04487,0.55966,0.24835,0.33117,0.16295,1.55603,2.0383,1.07749,0.00661753,0.00661753,0.00661753
3,50.0493,1.57582,1.49635,1.0896,0.4979,0.41849,0.3835,0.23007,1.41623,1.60499,1.08465,0.00994648,0.00994648,0.00994648
4,62.2619,1.5918,1.50775,1.09027,0.40915,0.43346,0.36812,0.1535,1.92007,1.50177,1.20972,0.0099901,0.0099901,0.0099901
5,74.5971,1.58981,1.3625,1.08754,0.47351,0.4629,0.42629,0.21206,1.56894,1.63071,1.104,0.0099868,0.0099868,0.0099868
6,86.9283,1.56036,1.18816,1.08193,0.54206,0.46642,0.45514,0.26685,1.44943,1.19113,1.07065,0.0099835,0.0099835,0.0099835
7,99.5457,1.52847,1.14005,1.07379,0.35078,0.36879,0.30868,0.13732,1.7333,1.45603,1.12868,0.0099802,0.0099802,0.0099802
8,112.004,1.49264,1.12577,1.06355,0.51047,0.46784,0.44315,0.20679,1.70957,1.20585,1.13175,0.0099769,0.0099769,0.0099769
9,124.316,1.46227,1.09708,1.0528,0.43345,0.46784,0.41284,0.20589,1.52095,1.20984,1.0535,0.0099736,0.0099736,0.0099736
10,136.946,1.41852,1.09499,1.05057,0.49294,0.47978,0.43624,0.22553,1.62305,1.22949,1.09869,0.0099703,0.0099703,0.0099703
11,149.967,1.43677,1.06888,1.05024,0.44198,0.3975,0.38281,0.20684,1.59223,1.27102,1.12201,0.009967,0.009967,0.009967
12,162.584,1.44833,1.05421,1.05197,0.41423,0.46107,0.39034,0.19546,1.51341,1.18783,1.0621,0.0099637,0.0099637,0.0099637
13,175.649,1.39584,1.04284,1.03827,0.46864,0.47283,0.42387,0.22069,1.54831,1.22538,1.08215,0.0099604,0.0099604,0.0099604
14,188.568,1.41006,1.03071,1.03916,0.54906,0.50499,0.47499,0.27024,1.43378,1.14344,1.06642,0.0099571,0.0099571,0.0099571
15,201.667,1.39658,1.04097,1.03747,0.5612,0.51327,0.48586,0.28915,1.37696,1.07822,1.0404,0.0099538,0.0099538,0.0099538
