epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.658,1.5536,2.31691,1.2923,0.95359,0.20047,0.67304,0.32909,1.44376,2.74564,1.18354,0.000652778,0.000652778,0.000652778
2,12.012,1.57854,1.6244,1.33315,0.72198,0.64878,0.7168,0.3743,1.50712,1.87793,1.37496,0.0012759,0.0012759,0.0012759
3,16.3995,1.57378,1.48239,1.35995,0.61307,0.74971,0.71614,0.39567,1.44589,1.80529,1.40214,0.00185503,0.00185503,0.00185503
4,20.7257,1.55368,1.34316,1.33221,0.72591,0.69119,0.75072,0.40931,1.48396,1.52395,1.37969,0.001802,0.001802,0.001802
5,25.3062,1.55162,1.23737,1.33449,0.70945,0.73171,0.77653,0.43707,1.44883,1.84174,1.38541,0.001736,0.001736,0.001736
6,29.7044,1.53437,1.1745,1.34528,0.70721,0.62439,0.71289,0.38131,1.54451,1.50181,1.4202,0.00167,0.00167,0.00167
7,34.1357,1.499,1.13532,1.32336,0.62439,0.6771,0.69028,0.40813,1.42172,1.44466,1.3312,0.001604,0.001604,0.001604
8,38.2362,1.496,1.06626,1.32492,0.73843,0.6878,0.76139,0.44896,1.40848,1.04625,1.33206,0.001538,0.001538,0.001538
9,42.0271,1.47797,1.01491,1.30988,0.72688,0.75122,0.82058,0.46275,1.49828,1.05279,1.39166,0.001472,0.001472,0.001472
10,45.7892,1.48081,1.0229,1.31948,0.74971,0.72326,0.79691,0.46341,1.42643,1.09585,1.35787,0.001406,0.001406,0.001406
11,49.9038,1.46599,1.02337,1.30973,0.7246,0.68022,0.76435,0.44883,1.40558,1.11383,1.34599,0.00134,0.00134,0.00134
12,53.9209,1.47452,1.0077,1.31503,0.70573,0.74878,0.79197,0.45434,1.4378,1.01378,1.36653,0.001274,0.001274,0.001274
13,57.5506,1.45918,0.96019,1.30377,0.75618,0.69593,0.78936,0.45893,1.42716,0.93464,1.3423,0.001208,0.001208,0.001208
14,60.6686,1.3997,0.92968,1.26717,0.82367,0.64939,0.8031,0.453,1.4426,0.99088,1.35265,0.001142,0.001142,0.001142
15,65.1366,1.43417,0.95184,1.2802,0.74698,0.6878,0.7647,0.44119,1.44588,0.9707,1.35615,0.001076,0.001076,0.001076
16,69.4378,1.40941,0.89729,1.25687,0.75821,0.70364,0.80555,0.47822,1.38033,0.93065,1.31925,0.00101,0.00101,0.00101
17,73.7458,1.41447,0.9229,1.28708,0.79067,0.66341,0.77436,0.4499,1.43999,0.97395,1.37923,0.000944,0.000944,0.000944
18,77.9856,1.40201,0.89746,1.27432,0.79608,0.72363,0.82579,0.49147,1.39939,0.90005,1.33051,0.000878,0.000878,0.000878
19,82.032,1.3985,0.87842,1.26201,0.7975,0.6724,0.81542,0.49911,1.36498,0.87851,1.31172,0.000812,0.000812,0.000812
20,85.8394,1.3576,0.8365,1.25097,0.83575,0.7122,0.83094,0.4855,1.42312,0.89244,1.34112,0.000746,0.000746,0.000746
21,90.3721,1.38683,0.84665,1.30017,0.74579,0.6439,0.74156,0.43682,1.42901,0.97028,1.36346,0.00068,0.00068,0.00068
22,94.5781,1.39196,0.84493,1.31041,0.80118,0.75678,0.82984,0.48805,1.3838,0.86435,1.32655,0.000614,0.000614,0.000614
23,98.562,1.39842,0.8335,1.28388,0.75627,0.63902,0.73765,0.43384,1.40741,1.01773,1.34531,0.000548,0.000548,0.000548
24,102.6,1.36724,0.81098,1.28009,0.81935,0.68537,0.80272,0.49173,1.36922,0.97603,1.31313,0.000482,0.000482,0.000482
25,106.404,1.35075,0.79748,1.27595,0.82817,0.71706,0.8383,0.50473,1.37404,0.86762,1.3238,0.000416,0.000416,0.000416
26,110.438,1.35156,0.79924,1.27497,0.80859,0.72683,0.83303,0.50314,1.35517,0.85148,1.31397,0.00035,0.00035,0.00035
27,114.231,1.33344,0.77075,1.25861,0.79905,0.77561,0.85573,0.52135,1.35367,0.80202,1.30535,0.000284,0.000284,0.000284
28,118.39,1.32912,0.76054,1.26163,0.80904,0.74146,0.84154,0.5243,1.34663,0.81744,1.29949,0.000218,0.000218,0.000218
29,122.699,1.30308,0.73988,1.25233,0.79891,0.73171,0.84449,0.51864,1.36478,0.83039,1.31295,0.000152,0.000152,0.000152
30,126.613,1.32222,0.74243,1.26534,0.79478,0.72439,0.8381,0.51732,1.36514,0.83708,1.3127,8.6e-05,8.6e-05,8.6e-05
